root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0

tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
03:05:52.657586 IP 138.197.140.141.22 > 99.244.106.247.55246: Flags [P.], seq 1370579132:1370579168, ack 3603245901, win 63492, length 36
03:05:52.658296 IP 138.197.140.141.22 > 99.244.106.247.55246: Flags [P.], seq 36:144, ack 1, win 63492, length 108
03:05:52.658370 IP 138.197.140.141.22 > 99.244.106.247.55246: Flags [P.], seq 144:180, ack 1, win 63492, length 36
03:05:52.658579 IP 138.197.140.141.22 > 99.244.106.247.55246: Flags [P.], seq 180:288, ack 1, win 63492, length 108
03:05:52.658627 IP 138.197.140.141.22 > 99.244.106.247.55246: Flags [P.], seq 288:324, ack 1, win 63492, length 36
03:05:52.658746 IP 138.197.140.141.22 > 99.244.106.247.55246: Flags [P.], seq 324:496, ack 1, win 63492, length 172
03:05:52.658787 IP 138.197.140.141.22 > 99.244.106.247.55246: Flags [P.], seq 496:532, ack 1, win 63492, length 36
03:05:52.658840 IP 138.197.140.141.22 > 99.244.106.247.55246: Flags [P.], seq 532:680, ack 1, win 63492, length 148
03:05:52.658881 IP 138.197.140.141.22 > 99.244.106.247.55246: Flags [P.], seq 680:716, ack 1, win 63492, length 36
03:05:52.658930 IP 138.197.140.141.22 > 99.244.106.247.55246: Flags [P.], seq 716:864, ack 1, win 63492, length 148
03:05:52.674651 IP 99.244.106.247.55246 > 138.197.140.141.22: Flags [.], ack 864, win 64240, length 0
03:05:52.674725 IP 138.197.140.141.22 > 99.244.106.247.55246: Flags [P.], seq 864:2220, ack 1, win 63492, length 1356
03:05:52.674889 IP 138.197.140.141.22 > 99.244.106.247.55246: Flags [P.], seq 2220:2360, ack 1, win 63492, length 140
03:05:52.674954 IP 138.197.140.141.22 > 99.244.106.247.55246: Flags [P.], seq 2360:2396, ack 1, win 63492, length 36
